generator,model_id,available,provider_tag,provider_name,country,quantization,context_length,max_completion_tokens,max_prompt_tokens,status,apis_advertised,completions_advertised,chat_advertised,supports_seed,supports_logprobs,supported_apis,supported_parameters,provider_api,price_native_per_m_input,price_native_per_m_output,price_to_usd,price_usd_per_m_input,price_usd_per_m_output,error
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,baidu/fp8,Baidu,,fp8,1048576,131072,,0,False,,,False,False,,"reasoning,include_reasoning,temperature,top_p,max_tokens,stop,response_format,structured_outputs,tools,tool_choice,reasoning_effort",openrouter,0.0805,0.161,1,0.0805,0.161,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,streamlake/fp8,StreamLake,,fp8,1024000,384000,,0,False,,,False,True,,"reasoning,include_reasoning,response_format,tools,tool_choice,logprobs,top_logprobs,structured_outputs,max_tokens,temperature,top_p,stop,reasoning_effort",openrouter,0.08064,0.16128,1,0.08064,0.16128,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,deepinfra/fp8,DeepInfra,,fp8,1048576,65536,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,repetition_penalty,top_k,seed,min_p,response_format,tools,tool_choice,structured_outputs,logit_bias,reasoning_effort",openrouter,0.09,0.18,1,0.09,0.18,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,gmicloud/fp8,GMICloud,,fp8,1048575,943717,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,seed,tools,tool_choice,response_format,reasoning_effort",openrouter,0.112,0.224,1,0.112,0.224,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,siliconflow/fp8,SiliconFlow,,fp8,1048576,393216,,0,False,,,False,False,,"reasoning,include_reasoning,temperature,top_p,top_k,frequency_penalty,max_tokens,tools,tool_choice,response_format,reasoning_effort",openrouter,0.13,0.28,1,0.13,0.28,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,alibaba/fp8,Alibaba,,fp8,1000000,393216,1e+06,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,seed,presence_penalty,response_format,tool_choice,tools,structured_outputs,top_k,frequency_penalty,stop,reasoning_effort",openrouter,0.134,0.268,1,0.134,0.268,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,venice,Venice,,unknown,1000000,32768,,0,False,,,False,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,top_k,response_format,structured_outputs,tools,tool_choice,reasoning_effort",openrouter,0.138,0.275,1,0.138,0.275,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,novita/fp8,Novita,,fp8,1048576,393216,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,seed,top_k,repetition_penalty,tool_choice,tools,response_format,reasoning_effort",openrouter,0.14,0.28,1,0.14,0.28,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,nextbit/fp8,NextBit,,fp8,1048576,943718,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,response_format,structured_outputs,repetition_penalty,seed,tools,tool_choice,reasoning_effort",openrouter,0.14,0.28,1,0.14,0.28,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,atlas-cloud/fp4,AtlasCloud,,fp4,1048576,393216,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,top_k,min_p,frequency_penalty,presence_penalty,repetition_penalty,stop,seed,logit_bias,response_format,structured_outputs,tools,tool_choice,reasoning_effort",openrouter,0.14,0.28,1,0.14,0.28,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,coreweave/fp8,CoreWeave,,fp8,1048576,943718,,0,False,,,True,True,,"reasoning,include_reasoning,max_tokens,temperature,top_p,top_k,repetition_penalty,frequency_penalty,presence_penalty,stop,seed,response_format,structured_outputs,tools,tool_choice,logprobs,top_logprobs,reasoning_effort",openrouter,0.14,0.28,1,0.14,0.28,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,parasail/fp8,Parasail,,fp8,1048576,943718,,0,False,,,True,True,,"reasoning,include_reasoning,max_tokens,temperature,top_p,frequency_penalty,presence_penalty,repetition_penalty,seed,stop,top_k,logit_bias,tools,tool_choice,structured_outputs,response_format,logprobs,top_logprobs,reasoning_effort",openrouter,0.14,0.28,1,0.14,0.28,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,mancer/fp8,Mancer 2,,fp8,1048576,943718,,0,False,,,True,True,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,repetition_penalty,logit_bias,top_k,min_p,seed,top_a,response_format,logprobs,top_logprobs,tools,structured_outputs,tool_choice,reasoning_effort",openrouter,0.17,0.5,1,0.17,0.5,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,phala,Phala,,unknown,1048576,393216,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,seed,top_k,min_p,repetition_penalty,response_format,structured_outputs,tools,tool_choice,reasoning_effort",openrouter,0.2,0.4,1,0.2,0.4,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,azure/us,Azure,,unknown,1048576,384000,,-2,False,,,False,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,max_completion_tokens,tools,tool_choice,response_format,reasoning_effort",openrouter,0.21,0.56,1,0.21,0.56,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,cloudflare,Cloudflare,,unknown,384000,345600,,0,False,,,True,True,,"reasoning,include_reasoning,max_tokens,temperature,top_p,top_k,seed,repetition_penalty,frequency_penalty,presence_penalty,min_p,stop,logit_bias,structured_outputs,tool_choice,tools,logprobs,top_logprobs,reasoning_effort",openrouter,0.44,1.32,1,0.44,1.32,
or-llama31-8b-instruct,meta-llama/llama-3.1-8b-instruct,True,deepinfra/fp8,DeepInfra,,fp8,131072,16384,,0,False,,,True,False,,"max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,repetition_penalty,top_k,seed,min_p,response_format,logit_bias",openrouter,0.02,0.04,1,0.02,0.04,
or-llama31-8b-instruct,meta-llama/llama-3.1-8b-instruct,True,novita/fp8,Novita,,fp8,16384,14745,,0,False,,,True,True,,"max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,seed,top_k,repetition_penalty,response_format,logprobs,top_logprobs",openrouter,0.02,0.05,1,0.02,0.05,
or-llama31-8b-instruct,meta-llama/llama-3.1-8b-instruct,True,groq,Groq,,unknown,131072,117964,,0,False,,,True,False,,"max_tokens,temperature,top_p,stop,seed,response_format,tools,tool_choice",openrouter,0.05,0.08,1,0.05,0.08,
or-llama31-8b-instruct,meta-llama/llama-3.1-8b-instruct,True,cloudflare/fp8,Cloudflare,,fp8,32000,28800,,0,False,,,True,False,,"max_tokens,temperature,top_p,top_k,seed,repetition_penalty,frequency_penalty,presence_penalty,min_p,stop,logit_bias,response_format",openrouter,0.152,0.287,1,0.152,0.287,
or-llama31-8b-instruct,meta-llama/llama-3.1-8b-instruct,True,coreweave/bf16,CoreWeave,,bf16,131072,117964,,0,False,,,True,True,,"structured_outputs,response_format,max_tokens,temperature,top_p,top_k,repetition_penalty,frequency_penalty,presence_penalty,stop,seed,tools,tool_choice,logprobs,top_logprobs",openrouter,0.22,0.22,1,0.22,0.22,
